Name,Size,Price,Link,MRP
Dr Willmar Schwabe India Ammonium Carbonicum Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-ammonium-carbonicum-dilution-30-ch-otc391702,
Dr Willmar Schwabe Germany Acidum Hydrofluoricum Dilution 1M,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-germany-acidum-hydrofluoricum-dilution-1m-otc693510,
Allen A83 Bed-Wetting Drop,bottle of 30 ml Drop,,https://www.1mg.com/otc/allen-a83-bed-wetting-drop-otc330426,
Dr Willmar Schwabe India Indigo Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-indigo-dilution-30-ch-otc404138,
Similia Biocom No.27 Tablet,bottle of 25 gm Biocombination Tablet,68,https://www.1mg.com/otc/similia-biocom-no.27-tablet-otc693382,MRP₹8520% OFF
Dr. Reckeweg Gelsemium Sempervirens Dilution 30 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-gelsemium-sempervirens-dilution-30-ch-otc326754,
LDD Bioscience Cina Dilution 30 CH,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/ldd-bioscience-cina-dilution-30-ch-otc841845,MRP₹9510% OFF
Bakson's Homeopathy Hamamelis Virginica Dilution CM,bottle of 30 ml Dilution,345,https://www.1mg.com/otc/bakson-s-homeopathy-hamamelis-virginica-dilution-cm-otc762848,MRP₹3758% OFF
Bjain Iodium Globules 0/12 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-iodium-globules-0-12-lm-otc836851,MRP₹8510% OFF
LDD Bioscience Alfalfa Dilution 30 CH,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/ldd-bioscience-alfalfa-dilution-30-ch-otc841227,MRP₹9510% OFF
Wheezal Mutha Dilution 50M,bottle of 30 ml Dilution,289,https://www.1mg.com/otc/wheezal-mutha-dilution-50m-otc926125,MRP₹32511% OFF
Bakson's Homeopathy Dolichos Pruriens Dilution 200,bottle of 30 ml Dilution,106,https://www.1mg.com/otc/bakson-s-homeopathy-dolichos-pruriens-dilution-200-otc760886,MRP₹1158% OFF
Dr Willmar Schwabe India Triosteum Perfoliatum Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-triosteum-perfoliatum-dilution-200-ch-otc406443,
Bjain Dulcamara Globules 0/3 LM,bottle of 6 gm Globules,76.5,https://www.1mg.com/otc/bjain-dulcamara-globules-0-3-lm-otc826525,MRP₹8510% OFF
Wheezal Staphysagria Dilution 1M,bottle of 30 ml Dilution,120,https://www.1mg.com/otc/wheezal-staphysagria-dilution-1m-otc923141,MRP₹13511% OFF
Bjain Belladonna Dilution 6C,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-belladonna-dilution-6c-otc435084,
Dr. Reckeweg Iodium Dilution 30 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-iodium-dilution-30-ch-otc326722,
ADEL Alumina Dilution 50M,bottle of 10 ml Dilution,,https://www.1mg.com/otc/adel-alumina-dilution-50m-otc763958,
SBL Guarea Trichilodies Dilution 200 CH,bottle of 30 ml Dilution,107,https://www.1mg.com/otc/sbl-guarea-trichilodies-dilution-200-ch-otc353305,MRP₹1157% OFF
SBL Lycopodium Clavatum Dilution CM CH,bottle of 10 ml Dilution,,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-cm-ch-otc385270,
Bjain Galium Aparine Mother Tincture Q,bottle of 30 ml Mother Tincture,88.8,https://www.1mg.com/otc/bjain-galium-aparine-mother-tincture-q-otc445393,MRP₹12529% OFF
Dr. Reckeweg Spongia Tosta Dilution 30 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-spongia-tosta-dilution-30-ch-otc326433,
Dr Willmar Schwabe Germany Natrum Sulphuricum Dilution 30,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-germany-natrum-sulphuricum-dilution-30-otc697425,
Dr Willmar Schwabe India Mercurius Auratus Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-mercurius-auratus-dilution-30-ch-otc405457,
Bjain Anacardium Orientale Dilution 3X,bottle of 30 ml Dilution,,https://www.1mg.com/otc/bjain-anacardium-orientale-dilution-3x-otc432024,
Dr. Reckeweg Lemna Minor Dilution 6 CH,bottle of 11 ml Dilution,,https://www.1mg.com/otc/dr.-reckeweg-lemna-minor-dilution-6-ch-otc374409,
Bjain Hydrocotyle Asiatica Dilution 200C,bottle of 100 ml Dilution,171,https://www.1mg.com/otc/bjain-hydrocotyle-asiatica-dilution-200c-otc440756,MRP₹19010% OFF
Wheezal Ranunculus Bulbosus Dilution 10M,bottle of 30 ml Dilution,245,https://www.1mg.com/otc/wheezal-ranunculus-bulbosus-dilution-10m-otc924624,MRP₹27511% OFF
Dr Willmar Schwabe India Tropaeolum Majus Dilution 12 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-tropaeolum-majus-dilution-12-ch-otc406450,
SBL Tussilago Farfara Dilution 1000 CH,bottle of 30 ml Dilution,130,https://www.1mg.com/otc/sbl-tussilago-farfara-dilution-1000-ch-otc359241,MRP₹1407% OFF
SBL Vaccinotoxinum Dilution 12 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-vaccinotoxinum-dilution-12-ch-otc359135,MRP₹1007% OFF
Wheezal Kreosotum Globules 0/10 LM,bottle of 20 gm Globules,178,https://www.1mg.com/otc/wheezal-kreosotum-globules-0-10-lm-otc895873,MRP₹1801% OFF
Wheezal Drosera Rotundifolia Globules 0/13 LM,bottle of 20 gm Globules,167,https://www.1mg.com/otc/wheezal-drosera-rotundifolia-globules-0-13-lm-otc892699,MRP₹1807% OFF
Sett Dey Lachnanthes Tinctoria Dilution 6,bottle of 30 ml Dilution,73.1,https://www.1mg.com/otc/sett-dey-lachnanthes-tinctoria-dilution-6-otc841256,MRP₹8615% OFF
Bahola Ferolac Tablet,bottle of 35 gm Tablet,133,https://www.1mg.com/otc/bahola-ferolac-tablet-otc388660,MRP₹1405% OFF
Bjain Syzygium Jambolanum Mother Tincture Q,bottle of 100 ml Mother Tincture,,https://www.1mg.com/otc/bjain-syzygium-jambolanum-mother-tincture-q-otc329100,
Dr. Majumder Homeo World Acidum Lacticum Dilution (30ml Each) 3X,box of 1 Bottle,221,https://www.1mg.com/otc/dr.-majumder-homeo-world-acidum-lacticum-dilution-30ml-each-3x-otc851719,MRP₹26015% OFF
SBL Solanum Xanthocarpus Dilution 200 CH,bottle of 30 ml Dilution,107,https://www.1mg.com/otc/sbl-solanum-xanthocarpus-dilution-200-ch-otc358414,MRP₹1157% OFF
Bjain Jaborandi Dilution 6X,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-jaborandi-dilution-6x-otc440108,
Hapro Causticum Dilution 50M,bottle of 30 ml Dilution,,https://www.1mg.com/otc/hapro-causticum-dilution-50m-otc727873,
LDD Bioscience Sulphur Dilution 1000 CH,bottle of 30 ml Dilution,117,https://www.1mg.com/otc/ldd-bioscience-sulphur-dilution-1000-ch-otc840175,MRP₹13010% OFF
Bakson's Homeopathy Pulex Irritans Dilution 10M,bottle of 30 ml Dilution,290,https://www.1mg.com/otc/bakson-s-homeopathy-pulex-irritans-dilution-10m-otc804416,MRP₹3158% OFF
Wheezal Solanum Nigrum Dilution 3X,bottle of 30 ml Dilution,89,https://www.1mg.com/otc/wheezal-solanum-nigrum-dilution-3x-otc923219,MRP₹10011% OFF
Dr Willmar Schwabe India Agaricus Muscarius Dilution 200 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-agaricus-muscarius-dilution-200-ch-otc395312,
Lord's Kali Phos Biochemic Tablet 200X,bottle of 450 gm Biochemic Tablet,,https://www.1mg.com/otc/lord-s-kali-phos-biochemic-tablet-200x-otc545015,
Bakson's Homeopathy Latrodectus Mactans Dilution 200,bottle of 30 ml Dilution,106,https://www.1mg.com/otc/bakson-s-homeopathy-latrodectus-mactans-dilution-200-otc765259,MRP₹1158% OFF
Bakson's Homeopathy Calcarea Carbonica Dilution 1M,bottle of 30 ml Dilution,138,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-carbonica-dilution-1m-otc755864,MRP₹1401% OFF
LDD Bioscience Bio-Combination 21 Teething Troubles In Children Tablet,bottle of 25 gm Biocombination Tablet,97.5,https://www.1mg.com/otc/ldd-bioscience-bio-combination-21-teething-troubles-in-children-tablet-otc721761,MRP₹1003% OFF
Bio India Complex 37 Pancreas Drop,bottle of 30 ml Drop,132,https://www.1mg.com/otc/bio-india-complex-37-pancreas-drop-otc505345,MRP₹15012% OFF
LDD Bioscience Pareira Brava Mother Tincture Q,bottle of 100 ml Mother Tincture,441,https://www.1mg.com/otc/ldd-bioscience-pareira-brava-mother-tincture-q-otc725161,MRP₹4553% OFF
Bjain Eschscholtzia Californica Dilution 3X,bottle of 100 ml Dilution,203,https://www.1mg.com/otc/bjain-eschscholtzia-californica-dilution-3x-otc438621,MRP₹22510% OFF
Dr Willmar Schwabe Germany Kreosotum Dilution 200,bottle of 10 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-germany-kreosotum-dilution-200-otc696808,
Father Muller Ratanhia Drop 200C,bottle of 100 ml Drop,158,https://www.1mg.com/otc/father-muller-ratanhia-drop-200c-otc954958,MRP₹17510% OFF
Lord's Koughcure Tablet,bottle of 25 gm Tablet,134,https://www.1mg.com/otc/lord-s-koughcure-tablet-otc544787,MRP₹15011% OFF
Organon Arnica Mon Dilution 200,bottle of 30 ml Dilution,,https://www.1mg.com/otc/organon-arnica-mon-dilution-200-otc919703,
Wheezal Dilution Granatum 50M,bottle of 30 ml Dilution,289,https://www.1mg.com/otc/wheezal-dilution-granatum-50m-otc917839,MRP₹32511% OFF
ADEL Bovista. Dilution 6,bottle of 10 ml Dilution,139,https://www.1mg.com/otc/adel-bovista.-dilution-6-otc770008,MRP₹1454% OFF
Bjain Abies Nigra Dilution 12C,bottle of 12 ml Dilution,51,https://www.1mg.com/otc/bjain-abies-nigra-dilution-12c-otc719108,MRP₹6015% OFF
